Global Rank,Country,GEI Score
1,United States,86.8
2,Switzerland,82.2
3,Canada,80.4
4,Denmark,79.3
5,UnitedKingdom,77.5
6,Australia,73.1
7,Iceland,73
8,Netherlands,72.3
9,Ireland,71.3
10,Sweden,70.2
11,Finland,70.2
12,Israel,67.9
13,Hong Kong,67.9
14,France,67.1
15,Germany,66.7
16,Austria,64.9
17,Belgium,62.2
18,Taiwan,62.1
19,Chile,58.3
20,Luxembourg,58.1
21,Korea,58.1
22,Estonia,57.8
23,Slovenia,56.5
24,Norway,56.1
25,UnitedArabEmirates,54.2
26,Japan,53.3
27,Singapore,52.4
28,Qatar,51.6
29,Poland,49.5
30,PuertoRico,48.7
31,Spain,46.9
32,Portugal,46.3
33,Hungary,46.2
34,China,45.9
35,Cyprus,45.6
36,Italy,45.1
37,Lithuania,44.1
38,Bahrain,43.8
39,Oman,43.6
40,CzechRepublic,43.5
41,Slovakia,42.6
42,SaudiArabia,42.1
43,Malaysia,40.1
44,Turkey,39.8
45,Latvia,39.3
46,Romania,38.6
47,Kuwait,37.4
48,BruneiDarussalam,36.5
49,Croatia,36.1
50,Greece,35.4
51,Botswana,34.4
52,Colombia,34.1
53,Tunisia,34
54,Thailand,33.5
55,Barbados,32.2
56,Azerbaijan,32.1
57,Montenegro,31.8
58,South Africa,31.6
59,Kazakhstan,31
60,Uruguay,30.1
61,Bulgaria,30.1
62,Namibia,30
63,Jordan,29.4
64,Iran,29.4
65,CostaRica,28.8
66,Lebanon,28.8
67,Serbia,28.6
68,Morocco,28.3
69,Peru,27.7
70,Mexico,27.1
71,Georgia,26.2
72,Belize,26.2
73,Vietnam,26
74,Argentina,26
75,Indonesia,26
76,Panama,25.5
77,Ukraine,25.2
78,India,25.1
79,Jamaica,24.8
80,Russia,24.8
81,Egypt,24.6
82,Armenia,24.3
83,Gabon,23.8
84,DominicanRepublic,23.6
85,Macedonia,23.1
86,Philippines,23
87,Albania,22.5
88,Algeria,22.4
89,Bolivia,22.1
90,TrinidadandTobago,21.7
91,Ghana,21.6
92,Nigeria,20.8
93,Senegal,20.3
94,Moldova,20.2
95,Rwanda,20
96,Kenya,19.8
97,BosniaandHerzegovina,19.5
98,Tajikistan,19.4
99,KyrgyzRepublic,19.2
100,Côted’Ivoire,19.1
101,SriLanka,19.1
102,LaoPDR,19.1
103,Swaziland,18.8
104,Guatemala,18.7
105,Ecuador,18.5
106,Suriname,18.4
107,Myanmar,18.1
108,Cambodia,17.7
109,Pakistan,17.3
110,Tanzania,17.3
111,Ethiopia,17.2
112,Honduras,17.2
113,Gambia,17.1
114,Libya,16.6
115,Paraguay,16.6
116,Zambia,16.3
117,Guyana,16.3
118,Brazil,16.1
119,Nicaragua,16.1
120,ElSalvador,15.7
121,Cameroon,15.6
122,Guinea,15.5
123,Mali,15.3
124,Angola,15.1
125,Uganda,14.8
126,Liberia,14.8
127,BurkinaFaso,13.4
128,Benin,13.3
129,Venezuela,13.1
130,Mozambique,12.8
131,SierraLeone,12.7
132,Bangladesh,12.5
133,Malawi,11.6
134,Mauritania,10.5
135,Burundi,10.2
136,Madagascar,9.1
137,Chad,8.8
